"WWF_biome","N_export","Sed_export","C_Risk","Pollination","Nature_Access","n"
"Boreal Forests/Taiga",0.111813083392797,5.23516411179312,-0.0433070062214189,-0.549800637211069,-0.34657366062227,151333
"Deserts & Xeric Shrublands",3.22321744565136,-2.83514595464997,0.0116860145948089,0.889380382322597,-0.0332636091219187,278833
"Flooded Grasslands & Savannas",3.10401342430328,2.66409835805132,-0.41469135438012,7.45729439444313,-9.80262586143876,10905
"Mangroves",1.39905422547096,2.2241530860942,-0.0206144221823265,3.96992777650375,-5.17136292733439,3422
"Mediterranean Forests, Woodlands & Scrub",3.53298165409188,-0.926116529021368,0.385409421112297,5.28305580530605,-1.37714000470972,32208
"Montane Grasslands & Shrublands",1.78038719719546,-1.63889634086184,-0.606217619690681,0.897562187752341,0.0941371712859519,51863
"Temperate Broadleaf & Mixed Forests",2.24879965030134,5.20404781294436,0.175787733020362,3.04043028821813,-3.54388825636732,128388
"Temperate Conifer Forests",2.64564737349728,12.7551843493498,0.102440899282381,-1.56362474186687,-0.285409215593296,40826
"Temperate Grasslands, Savannas & Shrublands",1.19099898347806,0.961706133223453,-0.0524523800520657,1.50571046346628,-7.72679333812806,101042
"Tropical & Subtropical Coniferous Forests",2.72386300842084,8.77393375851095,0.0804714978069193,0.173482912784505,-2.01048959559606,7124
"Tropical & Subtropical Dry Broadleaf Forests",1.71775919774102,4.53641194964655,0.00685194000923831,-0.537003950237198,-4.15165192946759,30149
"Tropical & Subtropical Grasslands, Savannas & Shrublands",2.0436548913391,1.08762332962524,0.0354539813312439,2.22395754582358,-4.05852202218634,201746
"Tropical & Subtropical Moist Broadleaf Forests",4.19343261180019,16.1392324568431,0.0423041838126755,-4.37329172784224,-8.3051847661238,197737
"Tundra",0.00424727700698975,0.95077667280356,-0.0488644201858123,-0.00564493468510103,0.0928679711350101,85701
NA,0.690236725003614,0.517874710668807,0.0382534189302426,2.09081506211827,-1.53555692698695,51170
