WWF_biome,service,mean_val,stdev_val,valid_count,se_val,sym_pct_change,status_abs,status_pct,grp_num_id,grp_legend_label
Boreal Forests/Taiga,C_Risk,-0.0010508649357338,0.0329419363103284,88049,1.1101634099124088e-4,-0.041865394564071415,Good,Good,1,[1] Boreal/Taiga
Boreal Forests/Taiga,C_Risk_Red_Ratio,3.64337561974e-4,0.0109516040621865,88049,3.6907575787752313e-5,0.30117754126621643,Good,Good,1,[1] Boreal/Taiga
Boreal Forests/Taiga,N_export,0.002820966,0.2537230307478917,108071351,2.440644919739866e-5,0.7771995971184318,Bad,Bad,1,[1] Boreal/Taiga
Boreal Forests/Taiga,N_Ret_Ratio,-0.001988055,0.06903842332861868,101740514,6.844534247583615e-6,-0.2112428220493933,Bad,Bad,1,[1] Boreal/Taiga
Boreal Forests/Taiga,Nature_Access,-253.59604,22785.579034715414,3756184,11.756732593251396,-7.939703435735855,Bad,Bad,1,[1] Boreal/Taiga
Boreal Forests/Taiga,Pollination,0.0046472605,0.3563018488124436,2577665,2.219242897024662e-4,2.2262628300294005,Good,Good,1,[1] Boreal/Taiga
Boreal Forests/Taiga,Sed_export,0.03907764,2.6186338217032823,111875054,2.475757730822069e-4,10.259853238715754,Bad,Bad,1,[1] Boreal/Taiga
Boreal Forests/Taiga,Sed_Ret_Ratio,-6.006591e-4,0.05884358481896758,100913671,5.857659460646536e-6,-0.06139718361173283,Bad,Bad,1,[1] Boreal/Taiga
Deserts & Xeric Shrublands,C_Risk,6.415127484526e-4,0.0436571088962417,82421,1.5206736910043967e-4,0.025462798248332662,Bad,Bad,2,[2] Deserts & Xeric Shrub
Deserts & Xeric Shrublands,C_Risk_Red_Ratio,-1.692013898272e-4,0.0150500336488604,82421,5.2422596908434106e-5,-0.27290533581039444,Bad,Bad,2,[2] Deserts & Xeric Shrub
Deserts & Xeric Shrublands,N_export,0.021278678,0.9189207805174926,314444317,5.1821048726931145e-5,2.3829961806817965,Bad,Bad,2,[2] Deserts & Xeric Shrub
Deserts & Xeric Shrublands,N_Ret_Ratio,0.0038762784,0.12273051023702948,150721381,9.996894464970492e-6,0.5582639585219404,Good,Good,2,[2] Deserts & Xeric Shrub
Deserts & Xeric Shrublands,Nature_Access,-1577.6875,144933.05423624587,6984914,54.838669922504046,-23.59269435440281,Bad,Bad,2,[2] Deserts & Xeric Shrub
Deserts & Xeric Shrublands,Pollination,0.021477459,0.4739831325430679,12035643,1.3662439073003327e-4,13.004166386797234,Good,Good,2,[2] Deserts & Xeric Shrub
Deserts & Xeric Shrublands,Sed_export,-0.23708884,14.295763357941016,169064397,0.0010994646503693542,-7.2181161356080565,Good,Good,2,[2] Deserts & Xeric Shrub
Deserts & Xeric Shrublands,Sed_Ret_Ratio,0.001322483,0.01681421089082391,155591377,1.3479808672734892e-6,0.14557295523360106,Good,Good,2,[2] Deserts & Xeric Shrub
Flooded Grasslands & Savannas,C_Risk,-0.0076011663738042,0.0631249105839488,4789,9.121754034386417e-4,-0.35342299238662017,Good,Good,3,[3] Flooded Grass/Savannas
Flooded Grasslands & Savannas,C_Risk_Red_Ratio,0.002420414777726,0.0243583685743374,4789,3.519863153208672e-4,2.5799280331590038,Good,Good,3,[3] Flooded Grass/Savannas
Flooded Grasslands & Savannas,N_export,0.07205824,2.443493773368834,10720275,7.462911192153226e-4,2.172345119484251,Bad,Bad,3,[3] Flooded Grass/Savannas
Flooded Grasslands & Savannas,N_Ret_Ratio,-0.0017520974,0.10573313417755248,8735265,3.5774458072163046e-5,-0.2051445144324583,Bad,Bad,3,[3] Flooded Grass/Savannas
Flooded Grasslands & Savannas,Nature_Access,-6155.604,287930.2513818828,273003,551.0659621597944,-48.58512544961997,Bad,Bad,3,[3] Flooded Grass/Savannas
Flooded Grasslands & Savannas,Pollination,0.043640416,0.398382206002312,1726771,3.0316744172233766e-4,30.958775554839974,Good,Good,3,[3] Flooded Grass/Savannas
Flooded Grasslands & Savannas,Sed_export,-0.009055922,4.440524685790997,11288674,0.0013216389310189102,-3.911567935829286,Good,Good,3,[3] Flooded Grass/Savannas
Flooded Grasslands & Savannas,Sed_Ret_Ratio,-2.234716e-4,0.03072546227905233,9291612,1.0079822689820303e-5,-0.028305478295505317,Bad,Bad,3,[3] Flooded Grass/Savannas
Mangroves,C_Risk,-4.21414717708e-4,0.0424287684230914,93595,1.386864723123327e-4,-0.0181070466968258,Good,Good,4,[4] Mangroves
Mangroves,C_Risk_Red_Ratio,1.04378477771e-4,0.015821739633788,93595,5.171635513370389e-5,0.08286626053816079,Good,Good,4,[4] Mangroves
Mangroves,N_export,-0.030144496,2.1574189754535587,1476776,0.0017753221897362978,-0.5948642689520758,Good,Good,4,[4] Mangroves
Mangroves,N_Ret_Ratio,-0.0028149101,0.11847693845846852,896294,1.2514358109689297e-4,-0.3688102586536214,Bad,Bad,4,[4] Mangroves
